root@xw607_dz_ap0002_v4:/data/python_files/bin # lsof
COMMAND     PID       USER   FD      TYPE             DEVICE  SIZE/OFF       NODE NAME
init          1       root  exe       ???                ???       ???        ??? /init
init          1       root    0       ???                ???       ???        ??? /dev/__null__ (deleted)
init          1       root    1       ???                ???       ???        ??? /dev/__null__ (deleted)
init          1       root    2       ???                ???       ???        ??? /dev/__null__ (deleted)
init          1       root    3       ???                ???       ???        ??? /dev/__kmsg__ (deleted)
init          1       root    4       ???                ???       ???        ??? /dev/__properties__
init          1       root    5       ???                ???       ???        ??? socket:[3225]
init          1       root    6       ???                ???       ???        ??? socket:[3230]
init          1       root    7       ???                ???       ???        ??? socket:[3231]
init          1       root  mem       ???              00:01         0       1917 /init
init          1       root  mem       ???              00:01    167936       1917 /init
init          1       root  mem       ???              00:01    172032       1917 /init
init          1       root  mem       ???              00:0c         0       1947 /dev/__properties__
ueventd      83       root  exe       ???                ???       ???        ??? /init
ueventd      83       root    0       ???                ???       ???        ??? /dev/__null__ (deleted)
ueventd      83       root    1       ???                ???       ???        ??? /dev/__null__ (deleted)
ueventd      83       root    2       ???                ???       ???        ??? /dev/__null__ (deleted)
ueventd      83       root    3       ???                ???       ???        ??? /dev/__kmsg__ (deleted)
ueventd      83       root    4       ???                ???       ???        ??? socket:[1950]
ueventd      83       root    5       ???                ???       ???        ??? /dev/__properties__
ueventd      83       root  mem       ???              00:01         0       1917 /init
ueventd      83       root  mem       ???              00:01    167936       1917 /init
ueventd      83       root  mem       ???              00:01    172032       1917 /init
mksh        109       root  exe       ???                ???       ???        ??? /system/bin/mksh
mksh        109       root    0       ???                ???       ???        ??? /dev/console
mksh        109       root    1       ???                ???       ???        ??? /dev/console
mksh        109       root    2       ???                ???       ???        ??? /dev/console
mksh        109       root    8       ???                ???       ???        ??? /dev/__properties__
mksh        109       root   10       ???                ???       ???        ??? /dev/tty
mksh        109       root   11       ???                ???       ???        ??? /system/etc/mkshrc
mksh        109       root  mem       ???              00:0c         0       1947 /dev/__properties__
mksh        109       root  mem       ???              b3:0a         0      49188 /system/lib/libc.so
busybox     197       root  exe       ???                ???       ???        ??? /system/xbin/busybox
busybox     197       root    0       ???                ???       ???        ??? /dev/null
busybox     197       root    1       ???                ???       ???        ??? /dev/null
busybox     197       root    2       ???                ???       ???        ??? /dev/null
busybox     197       root    3       ???                ???       ???        ??? pipe:[3268]
busybox     197       root    4       ???                ???       ???        ??? pipe:[3268]
busybox     197       root    5       ???                ???       ???        ??? socket:[3269]
busybox     197       root    8       ???                ???       ???        ??? /dev/__properties__
busybox     197       root  mem       ???              b3:0a         0      51203 /system/xbin/busybox
busybox     197       root  mem       ???              b3:0a   1363968      51203 /system/xbin/busybox
busybox     198       root  exe       ???                ???       ???        ??? /system/xbin/busybox
busybox     198       root    1       ???                ???       ???        ??? /dev/null
busybox     198       root    2       ???                ???       ???        ??? /dev/null
busybox     198       root    3       ???                ???       ???        ??? socket:[3272]
busybox     198       root    8       ???                ???       ???        ??? /dev/__properties__
busybox     198       root  mem       ???              b3:0a         0      51203 /system/xbin/busybox
busybox     198       root  mem       ???              b3:0a   1363968      51203 /system/xbin/busybox
dji_hdvt_   235       root  exe       ???                ???       ???        ??? /system/bin/dji_hdvt_uav
dji_hdvt_   235       root    0       ???                ???       ???        ??? /dev/null
dji_hdvt_   235       root    1       ???                ???       ???        ??? /dev/null
dji_hdvt_   235       root    2       ???                ???       ???        ??? /dev/null
dji_hdvt_   235       root    3       ???                ???       ???        ??? /dev/log/main
dji_hdvt_   235       root    4       ???                ???       ???        ??? /dev/log/radio
dji_hdvt_   235       root    5       ???                ???       ???        ??? /dev/log/events
dji_hdvt_   235       root    6       ???                ???       ???        ??? /dev/log/system
dji_hdvt_   235       root    7       ???                ???       ???        ??? socket:[2689]
dji_hdvt_   235       root    8       ???                ???       ???        ??? /dev/__properties__
dji_hdvt_   235       root    9       ???                ???       ???        ??? socket:[2690]
dji_hdvt_   235       root   11       ???                ???       ???        ??? /data/rm_game_para_setting.json
dji_hdvt_   235       root   12       ???                ???       ???        ??? /dev/snd/pcmC0D0p
dji_hdvt_   235       root   13       ???                ???       ???        ??? /system/audio/spk.apu
dji_hdvt_   235       root   14       ???                ???       ???        ??? /dev/mem
dji_hdvt_   235       root   15       ???                ???       ???        ??? socket:[3339]
dji_hdvt_   235       root   16       ???                ???       ???        ??? /dev/ttyS3
dji_hdvt_   235       root   17       ???                ???       ???        ??? socket:[3345]
dji_hdvt_   235       root   18       ???                ???       ???        ??? socket:[2722]
dji_hdvt_   235       root   19       ???                ???       ???        ??? socket:[2724]
dji_hdvt_   235       root   20       ???                ???       ???        ??? /dev/input/event0
dji_hdvt_   235       root   21       ???                ???       ???        ??? /sys/devices/virtual/gpio/gpio146/direction
dji_hdvt_   235       root   22       ???                ???       ???        ??? /sys/devices/virtual/gpio/gpio146/value
dji_hdvt_   235       root   23       ???                ???       ???        ??? /sys/devices/virtual/gpio/gpio145/direction
dji_hdvt_   235       root   24       ???                ???       ???        ??? /sys/devices/virtual/gpio/gpio145/value
dji_hdvt_   235       root   25       ???                ???       ???        ??? /system/audio/sound/connect_failed.wav
dji_hdvt_   235       root   26       ???                ???       ???        ??? /sys/devices/virtual/gpio/gpio130/direction
dji_hdvt_   235       root   27       ???                ???       ???        ??? /sys/devices/virtual/gpio/gpio130/value
dji_hdvt_   235       root   28       ???                ???       ???        ??? /sys/devices/virtual/gpio/gpio129/direction
dji_hdvt_   235       root   29       ???                ???       ???        ??? /sys/devices/virtual/gpio/gpio129/value
dji_hdvt_   235       root   30       ???                ???       ???        ??? /sys/devices/virtual/gpio/gpio128/direction
dji_hdvt_   235       root   31       ???                ???       ???        ??? /sys/devices/virtual/gpio/gpio128/value
dji_camer   237       root  exe       ???                ???       ???        ??? /system/bin/dji_camera
dji_camer   237       root    0       ???                ???       ???        ??? /dev/null
dji_camer   237       root    1       ???                ???       ???        ??? /dev/null
dji_camer   237       root    2       ???                ???       ???        ??? /dev/null
dji_camer   237       root    3       ???                ???       ???        ??? /dev/log/main
dji_camer   237       root    4       ???                ???       ???        ??? /dev/log/radio
dji_camer   237       root    5       ???                ???       ???        ??? /dev/log/events
dji_camer   237       root    6       ???                ???       ???        ??? /dev/log/system
dji_camer   237       root    7       ???                ???       ???        ??? socket:[3308]
dji_camer   237       root    8       ???                ???       ???        ??? /dev/__properties__
dji_camer   237       root    9       ???                ???       ???        ??? socket:[3309]
dji_camer   237       root   10       ???                ???       ???        ??? /dev/hx280enc_h1
dji_camer   237       root   11       ???                ???       ???        ??? /dev/ion
dji_camer   237       root   12       ???                ???       ???        ??? anon_inode:dmabuf
dji_camer   237       root   13       ???                ???       ???        ??? anon_inode:dmabuf
dji_camer   237       root   14       ???                ???       ???        ??? anon_inode:dmabuf
dji_camer   237       root   15       ???                ???       ???        ??? anon_inode:dmabuf
dji_camer   237       root   16       ???                ???       ???        ??? anon_inode:dmabuf
dji_camer   237       root   17       ???                ???       ???        ??? anon_inode:dmabuf
dji_camer   237       root   18       ???                ???       ???        ??? anon_inode:dmabuf
dji_camer   237       root   19       ???                ???       ???        ??? /dev/ion
dji_camer   237       root   20       ???                ???       ???        ??? anon_inode:dmabuf
dji_camer   237       root   21       ???                ???       ???        ??? anon_inode:dmabuf
dji_camer   237       root   22       ???                ???       ???        ??? anon_inode:dmabuf
dji_camer   237       root   23       ???                ???       ???        ??? anon_inode:dmabuf
dji_camer   237       root   24       ???                ???       ???        ??? anon_inode:dmabuf
dji_camer   237       root   25       ???                ???       ???        ??? /dev/on2psm
dji_camer   237       root   26       ???                ???       ???        ??? /dev/on2map
dji_camer   237       root   27       ???                ???       ???        ??? /dev/hx280enc_h1
dji_camer   237       root   28       ???                ???       ???        ??? /dev/ion
dji_camer   237       root   29       ???                ???       ???        ??? /dev/on2psm
dji_camer   237       root   30       ???                ???       ???        ??? /dev/on2map
dji_camer   237       root   31       ???                ???       ???        ??? /dev/hx280enc_h1
dji_camer   237       root   32       ???                ???       ???        ??? /dev/ion
dji_camer   237       root   33       ???                ???       ???        ??? anon_inode:dmabuf
dji_camer   237       root   34       ???                ???       ???        ??? anon_inode:dmabuf
dji_camer   237       root   35       ???                ???       ???        ??? anon_inode:dmabuf
dji_camer   237       root   36       ???                ???       ???        ??? anon_inode:dmabuf
dji_camer   237       root   37       ???                ???       ???        ??? anon_inode:dmabuf
dji_camer   237       root   38       ???                ???       ???        ??? anon_inode:dmabuf
dji_camer   237       root   39       ???                ???       ???        ??? anon_inode:dmabuf
dji_camer   237       root   40       ???                ???       ???        ??? anon_inode:dmabuf
dji_camer   237       root   41       ???                ???       ???        ??? /dev/hx170dec
dji_camer   237       root   42       ???                ???       ???        ??? /dev/on2psm
dji_camer   237       root   43       ???                ???       ???        ??? /dev/ion
dji_camer   237       root   44       ???                ???       ???        ??? /dev/on2map
dji_camer   237       root   45       ???                ???       ???        ??? anon_inode:dmabuf
dji_camer   237       root   46       ???                ???       ???        ??? anon_inode:dmabuf
dji_camer   237       root   47       ???                ???       ???        ??? anon_inode:dmabuf
dji_camer   237       root   48       ???                ???       ???        ??? anon_inode:dmabuf
dji_camer   237       root   49       ???                ???       ???        ??? anon_inode:dmabuf
dji_camer   237       root   50       ???                ???       ???        ??? anon_inode:dmabuf
dji_camer   237       root   51       ???                ???       ???        ??? anon_inode:dmabuf
